Eating Children                | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Basics of Basics               | 88.7 | 82.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
The class tought by Mr. Stinky | NG
Whipped Cream                  | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
I'm not even trying any more   | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Mashed Taters                  | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
#S
Class 1 | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 2 | 88.7 | 82.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 3 | 98.7 | 12.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 4 | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 5 | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 6 | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
#S
Class 7  | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 8  | 88.7 | 82.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 9  | 98.7 | 12.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 10 | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 11 | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
Class 12 | 98.7 | 92.5 | 67.5 | 92.4 | 95.3 | 87.5 | 95.3 | 87.5
